Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
1,69,9.683e+20,33.236960,57.061187,104.742306,1,44.108145,93.525685,134.802646,0,0,0,0
1,70,1.61918e+20,80.212299,47.951586,48.730590,1,71.588400,39.978850,42.270897,1,82.882349,50.448611,50.891980
1,71,1.42379e+20,85.601161,54.181942,54.374269,1,65.482154,35.074537,38.735121,1,90.691065,58.867377,58.868193
1,72,4.32469e+19,90.200494,44.041739,44.042426,1,71.222817,30.124257,31.956208,1,84.118899,39.228420,39.479226
1,73,9.00359e+20,65.610714,47.454885,52.287597,1,65.052342,46.104393,51.036623,0,0,0,0
1,74,6.42136e+20,102.133530,43.603180,44.430547,1,96.126033,41.466574,41.623727,0,0,0,0
1,75,3.54292e+20,89.676816,29.995475,30.001333,1,85.201050,27.700076,27.836283,1,94.814575,32.195962,32.277086
1,76,6.23597e+20,91.661702,41.560473,41.568266,1,88.802966,39.591341,39.610381,1,92.275805,41.823563,41.842573
1,77,3.36813e+19,88.908678,38.572563,38.589453,1,69.761830,25.948201,27.808469,1,83.968225,34.854016,35.093372
1,78,4.12046e+20,90.429827,49.007457,49.007469,1,77.183110,38.142793,39.210898,1,89.599106,47.890647,47.896315
1,79,4.87567e+19,118.717433,45.352325,51.450656,1,62.449374,18.405618,21.016135,0,0,0,0
1,80,8.36897e+20,76.187410,57.132674,58.933750,1,68.525661,47.670132,51.385091,1,75.865728,56.330525,58.191215
1,81,1.25787e+20,72.606718,52.271347,54.921905,1,65.232910,43.349759,47.954859,1,140.382110,119.482850,186.822235
1,82,3.60874e+20,66.067298,20.856484,23.007551,1,71.150350,23.180970,24.640519,0,0,0,0
1,83,3.01954e+20,76.778542,32.637559,33.632042,1,72.703038,29.867593,31.421651,1,83.231102,36.658988,36.970857
1,84,3.45758e+20,65.024136,40.127599,44.509300,1,60.543404,35.479533,41.038620,1,62.739513,37.823692,42.815773
1,85,1.13673e+20,91.515728,37.722884,37.727475,1,81.273960,31.668581,32.104884,1,89.515304,36.542483,36.549547
1,86,1.16951e+20,84.256822,29.452432,29.644261,1,83.506802,29.108151,29.344683,1,82.845313,28.826971,29.106538
1,87,7.30696e+20,100.113460,37.415314,37.830315,1,78.048214,30.689597,31.618934,0,0,0,0
1,88,3.07294e+20,69.813074,47.205133,50.462890,1,76.860057,54.796800,56.377234,1,66.514639,43.758583,47.909071
1,89,4.56769e+19,102.109424,25.357922,25.846777,1,92.835211,22.079987,22.090021,1,102.848400,25.251768,25.806351
1,90,5.94047e+20,102.989239,53.875485,55.183306,1,61.348128,23.588085,27.140323,1,119.788624,64.046988,73.530913
1,91,9.29997e+20,98.211030,14.724615,14.816542,1,88.077682,12.475198,12.507009,1,97.887360,14.448294,14.528513
1,92,8.12428e+20,86.453255,43.660586,43.771012,1,83.025438,40.743928,41.098589,1,82.331182,40.289502,40.708967
1,93,2.60109e+20,93.279951,52.109228,52.173330,1,70.886384,34.011423,36.136726,1,104.537148,60.783685,62.691538
1,94,7.14737e+20,89.557216,37.941071,37.947853,1,82.950535,33.784994,34.097394,1,97.371556,42.353086,42.653314
1,95,1.08791e+20,49.111096,29.528569,39.412261,1,28.972776,11.616922,24.716288,0,0,0,0
1,96,6.93858e+20,66.585373,24.236171,26.588189,1,65.966191,23.890102,26.340213,1,65.672515,23.892544,26.405633
1,97,1.94977e+20,51.126436,39.833664,51.500881,1,50.873308,39.452235,51.195305,1,46.128819,33.800334,47.286286
1,98,4.44013e+20,19.479956,30.612181,92.928752,1,21.714516,34.909732,95.360512,0,0,0,0
1,99,5.07829e+19,118.342048,11.773323,13.041073,1,103.194844,9.994648,10.134347,1,119.704231,11.532566,12.923437
1,100,2.78253e+20,71.549364,35.585697,37.797194,1,69.737429,34.734598,37.340136,0,0,0,0
