Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
7,78,1.37331e+20,65.248798,28.297775,31.256340,1,64.436538,27.754221,30.865552,1,65.476391,28.534075,31.458354
7,79,5.53702e+20,67.309841,33.024899,35.881468,1,68.511429,33.865336,36.476269,1,70.696840,35.631155,37.825781
7,80,2.39701e+20,138.291218,34.846093,52.119398,1,83.672269,19.243444,19.387702,0,0,0,0
7,81,5.80758e+20,102.952108,12.277266,12.552766,1,97.224357,11.135343,11.200717,0,0,0,0
7,82,2.30366e+19,97.348997,22.982023,23.147281,1,97.292529,22.912402,23.074367,1,90.988772,20.925172,20.925782
7,83,1.69495e+20,48.997745,26.394240,35.210067,1,49.296466,26.672734,35.417648,1,143.585145,100.479838,168.897652
7,84,3.93522e+19,125.073274,24.421645,29.693368,1,112.116533,21.526324,23.151746,0,0,0,0
7,85,3.14967e+20,99.590741,16.147803,16.341488,1,92.688376,14.508187,14.515619,1,98.958994,15.835300,15.998198
7,86,4.24295e+19,107.084856,6.581998,6.825006,1,105.408180,6.462604,6.649364,1,108.480766,6.625683,6.919416
7,87,4.57795e+20,41.311213,36.214854,55.182763,1,39.890972,33.803865,53.046146,0,0,0,0
7,88,2.05198e+19,129.177999,24.104724,30.914792,1,59.701730,7.532495,8.856005,1,124.812115,22.905725,27.746031
7,89,3.37894e+20,81.255434,19.432692,19.694704,1,72.354702,15.949941,16.805520,1,84.082759,20.196780,20.327816
7,90,3.30765e+19,109.019303,35.018127,36.953523,1,101.201739,31.882045,32.451984,1,115.285492,37.153461,40.971275
7,91,1.41249e+20,59.396927,25.144565,29.347651,1,61.066706,26.281274,30.154658,1,56.469242,23.381467,28.199135
7,92,8.07093e+20,86.276077,27.146733,27.217926,1,86.893482,27.249189,27.300878,1,92.405297,29.736802,29.755295
7,93,6.94974e+20,93.639231,9.435617,9.444022,1,84.072581,7.851885,7.917643,0,0,0,0
7,94,7.41442e+20,87.490150,9.980548,10.000952,1,86.802025,9.761006,9.789512,1,87.574013,9.897884,9.917305
7,95,7.08572e+20,72.902066,6.650711,7.028248,1,77.618742,7.262044,7.484993,0,0,0,0
7,96,1.1177e+20,110.517751,34.701824,36.972629,1,106.420542,33.131150,34.477395,1,116.767554,36.889951,41.209852
7,97,3.60985e+20,121.184039,36.692651,42.748303,1,71.771855,17.544198,18.549663,1,133.767762,39.875085,54.993514
7,98,7.92574e+19,102.220246,20.054176,20.474171,1,86.827484,15.712429,15.749743,1,103.162308,19.974702,20.465076
7,99,4.68143e+20,102.765985,14.427102,14.748058,1,108.207107,15.222509,15.959216,0,0,0,0
7,100,9.19559e+20,96.719349,9.498154,9.542348,1,97.890156,9.637950,9.704370,1,95.507134,9.311534,9.337549
